_id,School Name,School Number,OSSD Credits Offered,Principal Name,Suite,PO Box,Street Address,City,Province,Postal Code,Telephone Number,Fax,Region,School Email Address,School Website,School Level,School Special Conditions Type,Program Type,Association Membership
571,Goderich Forest School,668472,,Christine Brown,,,80900 Falls Reserve Line,Goderich,Ontario,N7A3Y1,519-379-6383,,West Region,info@atlastforestschools.com,,Elementary,Not applicable,Site based only,No Association Membership
572,Goldenlink Academy,665994,Offers credits toward the Ontario Secondary School Diploma (OSSD),Ling Wang,207,,20 Amber Street,Markham,Ontario,L3R5P4,905-604-8893,,Central Region,info@goldenlink.com,www.goldenlink.com,Elem/Sec,All Year Round,Online/Site Based,No Association Membership
573,Goldstone Parochial School,885614,,Sylvia Frey,,,7205 Sideroad 19 2,Alma,Ontario,N0B1A0,,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
574,Gospel Christian School,667231,,Isack Fehr,,,6236 Imperial Road,Aylmer,Ontario,N5H2R2,519-280-5027,,West Region,,,Elementary,Not applicable,nan,
575,Gospel Light Christian School,665206,,Duane Martin,,,714229 Baseline Rd,Ceylon,Ontario,N0C1E0,519-404-8368,,West Region,gospellightchristianschool@gmail.com,,Elem/Sec,Not applicable,Site based only,No Association Membership
576,Gowanstown Old Colony Mennonite Christia,666244,,Katharina Janzen,,,8727 Road 164,Gowanstown,Ontario,N0G1Y0,519-291-2427,519-291-1802,West Region,,,Elem/Sec,Not applicable,Site based only,No Association Membership
577,Grace Academy,669769,,"Albert Klyn, Bastiaan Klyn",,,23 Dover Street,Otterville,Ontario,N0J1R0,519-688-1715,,West Region,graceacademyotterville@gmail.com,,Elem/Sec,Not applicable,Site based only,No Association Membership
578,Grace Christian School,884243,,William Nederveen,,2,497 Millgrove Side Road,Millgrove,Ontario,L0R1V0,905-689-3191,,West Region,office@graceschool.ca,graceschool.ca,Elementary,Not applicable,Site based only,The League of Canadian Reformed School Societies
579,Gradale Academy,668497,,Michelle Gradish,203,,550 Bayview Avenue,Toronto,Ontario,M4W3X8,416-917-9409,416-924-9505,Toronto Region,gradalem@gmail.com,www.gradaleacademy.com,Elementary,Not applicable,Site based only,No Association Membership
580,Grand River Christian School,669243,,Katelyn Leier,,,160 Grand River Boulevard,Kitchener,Ontario,N2A3G6,519-772-5395,,West Region,oprisecaru@grandrivercs.ca,www.grandrivercs.ca,Elementary,Not applicable,Site based only,Other
581,Grandview Adventist Academy,885533,,Leyanne Roschman,,,3975 6 Hwy,Mount Hope,Ontario,L0R1W0,905-679-4492,289-280-0256,West Region,info@grandviewschool.ca,www.grandviewschool.ca,Elementary,Not applicable,Site based only,Ontario Conference of the Seventh Day Adventist Church
582,Great Lakes Christian High School,885118,Offers credits toward the Ontario Secondary School Diploma (OSSD),Kerri Kennedy,,,4875 King St,Beamsville,Ontario,L3J2J1,905-563-5374,905-563-0818,West Region,academic@glchs.ca,https://glchs.ca/,Secondary,Not applicable,Site based only,EDVance
583,"Great Lakes College of Toronto, The",889920,Offers credits toward the Ontario Secondary School Diploma (OSSD),Leila Esmaili Nazar,,,323 Keele St,Toronto,Ontario,M6P2K6,416-763-4121,416-763-5225,Toronto Region,query@glctschool.com,http://www.glctschool.com/,Secondary,Not applicable,Online/Site Based,No Association Membership
584,Great Lyn International Academy,666883,Offers credits toward the Ontario Secondary School Diploma (OSSD),Ana Visoiu,3,,100 East Beaver Creek,Richmond Hill,Ontario,L4B1J6,647-868-8923,647-868-8923,Central Region,info@greatlyn.com,www.greatlyn.ca,Secondary,All Year Round,Site based only,No Association Membership
585,Great Moose Adventures,669200,,Jean-Yves Leese,,,1368 Housey's Rapids Road,Gravenhurst,Ontario,P1P1R3,705-687-3903,,Central Region,directors@greatmooseadventures.com,www.greatmooseadventures.com,Elementary,Not applicable,Site based only,No Association Membership
586,Great Wood Academy,880003,Offers credits toward the Ontario Secondary School Diploma (OSSD),Yuning Li,3,,"100 East Beaver Creek Rd, 1st Floor",Richmond Hill,Ontario,L4B1J6,647-893-5656,,Central Region,info.greatwoodacademy@gmail.com,www.greatwood.com,Secondary,Not applicable,Online Only,No Association Membership
587,Green Apple Alternative School,665747,Offers credits toward the Ontario Secondary School Diploma (OSSD),Shavaita Sharma,202,,5 Brisdale Drive,Brampton,Ontario,L7A0S9,905-495-2500,905-495-2503,Central Region,info@greenappleschool.ca,,Secondary,All Year Round,Site based only,No Association Membership
588,Green High School,666793,Offers credits toward the Ontario Secondary School Diploma (OSSD),Nasrin Bakhtiarinoroozi,,,5 NIPIGON AVE,Toronto,Ontario,M2M2V7,647-833-3364,,Central Region,greenhighschool@yahoo.ca,www.greenhighschool.ca,Secondary,All Year Round,Online Only,No Association Membership
589,Green Road High School,666717,Offers credits toward the Ontario Secondary School Diploma (OSSD),Tooraj Yousefi,R196,,10225 Yonge St,Richmond Hill,Ontario,L4C3B2,647-786-2141,905-763-9117,Central Region,tooraj.yousefi@gmail.com,www.greenrda.ca,Secondary,All Year Round,Online/Site Based,No Association Membership
590,Greenbelt Academy and Early Learning Cen,883760,,Jaclyn Giesbrecht,,,130 Main St E,Grimsby,Ontario,L3M1N8,905-931-0447,,West Region,greenbeltniagara@gmail.com,greenbeltacademy.ca,Elementary,Not applicable,Site based only,No Association Membership
591,Greenhill Islamic School,881605,,Zahrae Noureddine,,,50 Greenhill Ave,Hamilton,Ontario,L8K5C7,905-328-0339,,West Region,info@ghischool.com,,Elementary,Not applicable,Site based only,No Association Membership
592,Greenock Amish Parochial School,877891,,Rachel Streicher,,,536 Brockton Side Road 30 5,Kincardine,Ontario,N2Z2X6,,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
593,Greenwood College School,666289,Offers credits toward the Ontario Secondary School Diploma (OSSD),Heather Thomas,,,443 Mount Pleasant Rd,Toronto,Ontario,M4S2L8,416-482-9811,416-482-9188,Toronto Region,,http://www.greenwoodcollege.org,Elem/Sec,Not applicable,Site based only,Conference of Independent Schools of Ontario
594,Gregory School for Exceptional Learning,665009,,ANGELINE SAVARD,,,1249 Colborne Street West 4,Brantford,Ontario,N3T0M6,519-449-1650,888-223-0246,West Region,principal@gregoryschool.ca,gregoryschool.ca,Elementary,Not applicable,Site based only,No Association Membership
595,Groveville Collegiate,666668,Offers credits toward the Ontario Secondary School Diploma (OSSD),Mohamed Ali,201H,,75 International Boulevard,Etobicoke,Ontario,M9W6L9,416-826-9329,416-628-1710,Central Region,mohamed.ali@utoronto.ca,groveville.ca,Secondary,All Year Round,Online Only,No Association Membership
596,Growing Roots Nature School,886167,,Colleen Dale,,,2378 Nixon Road Road,Simcoe,Ontario,N3Y4K6,519-410-7840,,West Region,growingrootsnatureschool@gmail.com,www.growingrootsnatureschool.com,Elementary,Not applicable,Site based only,No Association Membership
597,Guelph Community Christian School,885452,,Justin DeMoor,,,195 College Ave West,Guelph,Ontario,N1G1S6,519-824-8860,519-824-2105,West Region,info@guelphccs.ca,www.guelphccs.ca,Elementary,Not applicable,Site based only,Ontario Alliance of Christian Schools (OACS)
598,Guelph Montessori School,877093,,AMIR GUTMAN,,,151 Waterloo Ave,Guelph,Ontario,N1H3H9,519-836-3810,519-836-0359,West Region,info@guelphmontessori.com,www.guelphmontessori.com,Elementary,Not applicable,Site based only,Other
599,Guidepost Academy Toronto,883708,,Laura McCarthy,,,1767 Queen St E,Toronto,Ontario,M4L3Z2,416-703-2582,,Toronto Region,lmccarthy@guidepostmontessori.com,https://inbound.guidepostmontessori.com/GPA-Toronto,Elementary,Not applicable,Site based only,No Association Membership
600,Guiding Light Academy,665671,,Dianne Jackson,,,225 Broadway Street,Mississauga,Ontario,L5M1J1,647-779-9199,,Central Region,info@guidinglightacademy.com,www.guidinglightacademy.com,Elementary,Not applicable,Site based only,No Association Membership
601,Guido de Bres Christian High School,889164,Offers credits toward the Ontario Secondary School Diploma (OSSD),Jason Heemskerk,,,350 Albright Road,Hamilton,Ontario,L8K5J4,905-574-4011,,West Region,office@guidodebres.com,www.guidodebres.org,Secondary,Not applicable,Site based only,No Association Membership
602,Guildford Academy,882511,Applied to offer credits toward the Ontario secondary School Diploma (OSSD),Bryan Ho,,,,nan,,,,,Central Region,,,Secondary,Not applicable,Online/Site Based,No Association Membership
603,Gusty Parochial School,669511,,Marie Martin,,,829 Concession Road 6 Arran-Elderslie,Paisley,Ontario,N0G2N0,,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
604,HERITAGE MONTESSORI INC,881754,,RITA CENTOFANTE,20,,1289 MARLBOROUGH COURT,OAKVILLE,Ontario,L6H2R9,416-708-3981,,Central Region,Shela_minhas@hotmail.com,www.brightscholars.ca,Elementary,Not applicable,Site based only,No Association Membership
605,HTS Global Online Campus,668401,Offers credits toward the Ontario Secondary School Diploma (OSSD),Amanda Kennedy,101,,11300 Bayview Avenue,Richmond Hill,Ontario,L4S1L4,905-737-1114,,Central Region,info@htsonlinecampus.ca,https://www.hts.on.ca/hts-online/,Secondary,All Year Round,Online Only,Conference of Independent Schools of Ontario
606,Haliburton Forest School,668757,,Rebecca Fahrun,,,1012 Garden Gate Drive,Algonquin Highlands,Ontario,K0M1S0,519-379-6383,,East Region,haliburtonforestschool@gmail.com,,Elementary,Not applicable,Site based only,No Association Membership
607,Halley International Academy,886582,Offers credits toward the Ontario Secondary School Diploma (OSSD),Wanzi Dong,810-34,,55 Commerce Valley,Thornhill,Ontario,L3T7P4,437-362-2008,,Central Region,info@halleyinternationalacademy.com,www.halleyia.ca,Secondary,Not applicable,Online/Site Based,No Association Membership
608,Halton Hills Christian School,885398,,Angela Bonvanie,,,11643 Trafalgar Road,Georgetown,Ontario,L7G4S4,905-877-4221,,Central Region,office@hh-cs.org,http://www.hh-cs.org,Elementary,Not applicable,Site based only,EDVance
609,Halton Waldorf School,883700,,Caitlin Mizzi,,,2193 Orchard Rd,Burlington,Ontario,L7L7J8,905-331-4387,905-331-3231,West Region,reception@haltonwaldorf.com,www.haltonwaldorf.com,Elementary,Not applicable,Site based only,Waldorf Association of Ontario
610,Halton Waldorf School,884526,Offers credits toward the Ontario Secondary School Diploma (OSSD),Siobhan Hughes,,,2254 Orchard Rd.,Burlington,Ontario,L7L7J8,289-288-4570,,West Region,reception@haltonwaldorf.com,www.haltonwaldorf.com,Secondary,Not applicable,Site based only,No Association Membership
611,Hamilton District Christian Private School,885541,Offers credits toward the Ontario Secondary School Diploma (OSSD),Duncan Todd,,,92 Glancaster Rd,Ancaster,Ontario,L9G3K9,905-648-6655,905-648-3139,West Region,info@hdch.org,http://www.hdch.org,Secondary,Not applicable,Site based only,Other
612,Hamilton Downtown Islamic School,884101,,Nailah Faisal,,,221 York Boulevard,Hamilton,Ontario,L8R1Y6,905-581-7132,,West Region,principalhdis@gmail.com,www.hdislamicschool.com,Elementary,Not applicable,Site based only,No Association Membership
613,Hamilton Hebrew Academy Zichron Meir,885550,,Yaakov Morel,,,60 Dow Avenue,Hamilton,Ontario,L8S1W4,905-528-0330,905-528-0544,West Region,school@hamiltonhebrewacademy.ca,http://www.hamiltonhebrewacademy.ca,Elementary,Not applicable,Site based only,No Association Membership
614,Hamilton Montessori School,666594,,Indu Balachandran,,,299 Barton Street,Stoney Creek,Ontario,L8E2K7,647-289-5000,,West Region,indu.balachandran@hamiltonmontessori.ca,www.hamiltonmontessori.ca,Elementary,Not applicable,Site based only,Canadian Council of Montessori Administrators (CCMA)
615,Hanover Community Christian School,669207,,Henry Mengers,,,628 11th Street,Hanover,Ontario,N4N1T7,519-369-4525,,West Region,Hanoverchristianschool@gmail.com,Www.hanoverchristianschool.com,Elementary,Not applicable,Site based only,No Association Membership
616,Hansen Academy,884574,,Shahin Esmaeiliazad,300,,7050 Woodbine Ave,Markham,Ontario,L3R4G8,416-897-4461,,West Region,shahin.azad@hanson-academy.ca,,Elem/Sec,Not applicable,Online/Site Based,No Association Membership
617,Hanson High School,665843,Offers credits toward the Ontario Secondary School Diploma (OSSD),Yelena Mordovskaya,1000,,211 Consumers Road,Toronto,Ontario,M2J4G8,416-322-0555,,Toronto Region,yelena.mordovskaya@canadahanson.com,www.hansonhighschool.ca,Secondary,Summer,Site based only,No Association Membership
618,Harvest Classical Academy,884866,,Andrew DeBartolo,,,2001 Spring Garden Road,Windsor,Ontario,N9E3P8,519-250-5520,,West Region,chris@harvestwindsor.ca,http://harvestclassicalacademy.ca/,Elem/Sec,Not applicable,Site based only,No Association Membership
619,Harvesters Christian School,886067,,Julie Loveless,,,9488 Westminster Drive,London,Ontario,N6P1P3,519-660-9952,,West Region,julie@harvesterbaptistchurch.com,harvesterbaptistchurch.com,Elem/Sec,Not applicable,Site based only,No Association Membership
620,Harwood Montessori School Inc,884596,,Manouri Wijegunawardene,,,23 Church St S,Ajax,Ontario,L1S6A6,905-428-6256,,East Region,hms@harwoodmontessori.com,www.harwoodmontessori.com,Elementary,Not applicable,Site based only,No Association Membership
621,Hatch House Montessori,884685,,Zsuzsanna Vigh,,,301 Byron Street South,Whitby,Ontario,L1N4P9,905-665-7700,905-665-8100,East Region,zsuzsannavigh@hatchhousemontessori.com,www.hatchhousemontessori.com,Elementary,Not applicable,Site based only,Ontario Federation of Independent Schools
622,Haven International School,888814,Offers credits toward the Ontario Secondary School Diploma (OSSD),Thomas Tidey,,,360 Colborne Street,Brantford,Ontario,N3S3N3,519-753-0070,,West Region,info@haveninternationalschool.com,www.haveninternationalschool.com,Elem/Sec,Not applicable,Site based only,No Association Membership
623,Havergal College,887242,Offers credits toward the Ontario Secondary School Diploma (OSSD),Katrina Samson,,,1451 Avenue Rd,Toronto,Ontario,M5N2H9,416-483-3519,416-483-6796,Toronto Region,info@havergal.on.ca,http://www.havergal.on.ca,Elem/Sec,Not applicable,Site based only,No Association Membership
624,Hawthorn School for Girls,884863,Offers credits toward the Ontario Secondary School Diploma (OSSD),Tiffany Zupan,,,101 Scarsdale Road,Toronto,Ontario,M3B2R2,416-444-3054,416-449-2891,Central Region,schoolhead@hawthornschool.com,www.hawthornschool.com,Elem/Sec,Not applicable,Site based only,Conference of Independent Schools of Ontario
625,Head Start Montessori and Private School,883106,,Sara Alvi,105,,2235 Sheppard Avenue East,Toronto,Ontario,M2J5B4,416-756-7300,,Toronto Region,info@headstartmontessori.ca,www.headstartmontessori.ca,Elementary,Not applicable,Site based only,Canadian Council of Montessori Administrators (CCMA)
626,Headwater Hills Montessori School,669178,,Nancy Ernst Richards,,,21170 Hurontario Street,Caledon,Ontario,L7K1X1,519-942-3545,,Central Region,nancy@headwaterhills.org,headwaterhills.org,Elementary,Not applicable,Site based only,Canadian Council of Montessori Administrators (CCMA)
627,Hellenic Academy of York,886153,Offers credits toward the Ontario Secondary School Diploma (OSSD),Georgia Petinarelis,,,10475 Bayview Avenue,Richmond Hill,Ontario,L4C3P2,905-313-1000,,Central Region,info@hccy.ca,www.hccy.ca,Secondary,Not applicable,Site based only,No Association Membership
628,Heritage Academy,876500,Offers credits toward the Ontario Secondary School Diploma (OSSD),Cheryl Ward,,,207 Bayswater Avenue,Ottawa,Ontario,K1Y2G5,613-722-0133,613-722-7881,East Region,info@heritage-academy.com,http://www.heritage-academy.com/,Elem/Sec,Not applicable,Site based only,Ontario Federation of Independent Schools
629,Heritage Christian Academy,880078,,Brett Pennell,,,79 Ardagh Rd,Barrie,Ontario,L4N9B6,705-733-0097,,Central Region,arennie@hbcbarrie.com,,Elem/Sec,Not applicable,Site based only,No Association Membership
630,Heritage Christian School,875864,Offers credits toward the Ontario Secondary School Diploma (OSSD),Brian Kemper,,Box 400,2850 Fourth Ave,Jordan Station,Ontario,L0R1S0,905-562-7303,905-562-0020,West Region,heritage@hcsjordan.ca,www.hcsjordan.ca,Elem/Sec,Not applicable,Site based only,Canadian Council of Christian Charities (CCCC)
631,Heritage Christian School,880272,,Rick Schenk,,,159 Colborne St W,Lindsay,Ontario,K9V5Z8,705-324-8363,705-324-8372,East Region,office@hcslindsay.ca,http://www.myhcs.ca,Elementary,Not applicable,Site based only,No Association Membership
632,Heritage Community Christian School,885053,Offers credits toward the Ontario Secondary School Diploma (OSSD),Sheila May,,,7463 County Road 28,Addison,Ontario,K0E1A0,613-498-4176,613-498-0477,East Region,info@hccs.ca,www.hccs.ca,Elem/Sec,Not applicable,Site based only,Independent and Private School Forum
633,Heritage Innovation School,668493,Offers credits toward the Ontario Secondary School Diploma (OSSD),jisuk kim,300,,95 Moatfield Drive,North York,Ontario,M3B3L6,416-901-4554,,Central Region,admission.heritage@hischool.ca,www.hischool.ca,Elem/Sec,Not applicable,Site based only,No Association Membership
